,annual,state,year
382,0.985,Delaware,2000
383,-0.57,Delaware,2001
384,-1.503333333,Delaware,2002
385,3.586666667,Delaware,2003
386,2.4,Delaware,2004
387,1.041666667,Delaware,2005
388,0.5075,Delaware,2006
389,-1.581666667,Delaware,2007
390,-2.2625,Delaware,2008
391,1.214166667,Delaware,2009
392,-0.560833333,Delaware,2010
393,-2.155,Delaware,2011
394,-1.694166667,Delaware,2012
395,1.155,Delaware,2013
396,0.514166667,Delaware,2014
397,-0.175833333,Delaware,2015
398,-0.14,Delaware,2016
399,-0.376666667,Delaware,2017
400,1.659166667,Delaware,2018
401,-0.143333333,Delaware,2019
402,0.046666667,Delaware,2020
403,-0.175,Delaware,2021
404,-2.384166667,Delaware,2022
405,-18.39166667,Delaware,2023
406,1.758333333,Florida,1966
407,-1.4525,Florida,1967
408,0.441666667,Florida,1968
409,1.878333333,Florida,1969
410,0.065,Florida,1970
411,-1.575833333,Florida,1971
412,-0.145833333,Florida,1972
413,0.469166667,Florida,1973
414,-0.7425,Florida,1974
415,0.191666667,Florida,1975
416,-0.023333333,Florida,1976
417,-1.214166667,Florida,1977
418,0.695833333,Florida,1978
419,1.305,Florida,1979
420,-0.335,Florida,1980
421,-2.740833333,Florida,1981
422,1.386666667,Florida,1982
423,2.698333333,Florida,1983
424,1.055,Florida,1984
425,-1.416666667,Florida,1985
426,-0.839166667,Florida,1986
427,-0.6475,Florida,1987
428,-0.460833333,Florida,1988
429,-1.528333333,Florida,1989
430,-2.166666667,Florida,1990
431,0.805,Florida,1991
432,0.325,Florida,1992
433,-0.451666667,Florida,1993
434,0.989166667,Florida,1994
435,2.153333333,Florida,1995
436,0.629166667,Florida,1996
437,0.424166667,Florida,1997
438,-0.886666667,Florida,1998
439,-2.555,Florida,1999
440,-3.623333333,Florida,2000
441,-3.183333333,Florida,2001
442,-0.204166667,Florida,2002
443,1.474166667,Florida,2003
444,-0.470833333,Florida,2004
445,0.416666667,Florida,2005
446,-2.9075,Florida,2006
447,-5.311666667,Florida,2007
448,-3.218333333,Florida,2008
449,-0.8725,Florida,2009
450,-1.024166667,Florida,2010
451,-4.128333333,Florida,2011
452,-1.508333333,Florida,2012
453,0.681666667,Florida,2013
454,0.755833333,Florida,2014
455,-1.153333333,Florida,2015
456,-0.631666667,Florida,2016
457,-0.4975,Florida,2017
458,0.389166667,Florida,2018
459,-1.3875,Florida,2019
460,-0.134166667,Florida,2020
461,0.215,Florida,2021
462,-0.251666667,Florida,2022
463,-18.0325,Florida,2023
464,2.185,Georgia,1966
465,1.111666667,Georgia,1967
466,-0.9675,Georgia,1968
467,0.600833333,Georgia,1969
468,1.009166667,Georgia,1970
469,1.890833333,Georgia,1971
470,0.8825,Georgia,1972
